GILD,68.5,08/14/2020 16:00:01 EDT,68.09,08/14/2020 00:00:00 EDT,0.32,0.47
BAC,26.47,08/14/2020 16:00:01 EDT,26.06,08/14/2020 00:00:00 EDT,0.12,0.46
VZ,58.79,08/14/2020 16:00:01 EDT,58.48,08/14/2020 00:00:00 EDT,0.27,0.46
PKG,99.67,08/14/2020 16:03:38 EDT,98.49,08/14/2020 00:00:00 EDT,0.45,0.45
KSU,183.93,08/14/2020 16:00:01 EDT,182.97,08/14/2020 00:00:00 EDT,0.80,0.44
XOM,43.2,08/14/2020 16:02:14 EDT,42.6,08/14/2020 00:00:00 EDT,0.19,0.44
MET,39.61,08/14/2020 16:00:01 EDT,39.11,08/14/2020 00:00:00 EDT,0.17,0.43
NBL,10.615,08/14/2020 16:00:01 EDT,10.47,08/14/2020 00:00:00 EDT,0.045,0.43
RHI,56.63,08/14/2020 16:04:07 EDT,55.93,08/14/2020 00:00:00 EDT,0.24,0.43
AMP,159.66,08/14/2020 16:03:44 EDT,158.38,08/14/2020 00:00:00 EDT,0.66,0.42
ABBV,95.07,08/14/2020 16:02:10 EDT,95.38,08/14/2020 00:00:00 EDT,0.39,0.41
HSIC,67.23,08/14/2020 16:00:01 EDT,66.64,08/14/2020 00:00:00 EDT,0.27,0.40
STX,45.07,08/14/2020 16:00:01 EDT,45.07,08/14/2020 00:00:00 EDT,0.17,0.38
IPG,18.86,08/14/2020 16:00:01 EDT,18.74,08/14/2020 00:00:00 EDT,0.07,0.37
PWR,49.45,08/14/2020 16:00:01 EDT,48.96,08/14/2020 00:00:00 EDT,0.18,0.37
ADM,44.59,08/14/2020 16:00:01 EDT,44.19,08/14/2020 00:00:00 EDT,0.16,0.36
AMGN,239.71,08/14/2020 16:00:01 EDT,239.214,08/14/2020 00:00:00 EDT,0.85,0.36
BLL,75.5,08/14/2020 16:00:01 EDT,75.0,08/14/2020 00:00:00 EDT,0.27,0.36
JBHT,137.19,08/14/2020 16:00:01 EDT,137.3,08/14/2020 00:00:00 EDT,0.48,0.35
SNA,153.64,08/14/2020 16:00:01 EDT,151.98,08/14/2020 00:00:00 EDT,0.54,0.35
CSX,74.25,08/14/2020 16:00:01 EDT,73.67,08/14/2020 00:00:00 EDT,0.25,0.34
ORCL,54.2,08/14/2020 16:02:30 EDT,54.03,08/14/2020 00:00:00 EDT,0.18,0.33
T,30.01,08/14/2020 16:02:21 EDT,29.83,08/14/2020 00:00:00 EDT,0.10,0.33
AME,101.28,08/14/2020 16:00:01 EDT,100.36,08/14/2020 00:00:00 EDT,0.32,0.32
ANTM,283.23,08/14/2020 16:00:01 EDT,280.45,08/14/2020 00:00:00 EDT,0.90,0.32
BEN,21.95,08/14/2020 16:00:01 EDT,21.76,08/14/2020 00:00:00 EDT,0.07,0.32
BIIB,289.45,08/14/2020 16:00:01 EDT,287.99,08/14/2020 00:00:00 EDT,0.91,0.32
MYL,16.19,08/14/2020 16:00:01 EDT,16.0,08/14/2020 00:00:00 EDT,0.05,0.31
LEG,40.29,08/14/2020 16:00:01 EDT,39.89,08/14/2020 00:00:00 EDT,0.12,0.30
FISV,99.77,08/14/2020 16:00:01 EDT,98.94,08/14/2020 00:00:00 EDT,0.29,0.29
QCOM,113.74,08/14/2020 16:00:01 EDT,113.3,08/14/2020 00:00:00 EDT,0.33,0.29
ETFC,54.36,08/14/2020 16:00:01 EDT,53.94,08/14/2020 00:00:00 EDT,0.15,0.28
NFLX,482.68,08/14/2020 16:00:01 EDT,482.82,08/14/2020 00:00:00 EDT,1.35,0.28
REGN,612.57,08/14/2020 16:00:01 EDT,610.09,08/14/2020 00:00:00 EDT,1.68,0.28
OXY,14.64,08/14/2020 16:00:01 EDT,14.5,08/14/2020 00:00:00 EDT,0.04,0.27
MCD,207.03,08/14/2020 16:00:01 EDT,205.95,08/14/2020 00:00:00 EDT,0.54,0.26
NWSA,15.33,08/14/2020 16:00:01 EDT,15.31,08/14/2020 00:00:00 EDT,0.04,0.26
STT,70.53,08/14/2020 16:04:39 EDT,69.95,08/14/2020 00:00:00 EDT,0.18,0.26
SWK,158.78,08/14/2020 16:00:01 EDT,157.94,08/14/2020 00:00:00 EDT,0.38,0.24
